,fecha,Precio
0,2025-08-20,2174.36160275109
1,2025-08-27,2157.648246651769
2,2025-09-03,2162.254954637408
3,2025-09-10,2162.1606352777562
4,2025-09-17,2173.0237526117558
5,2025-09-24,2172.121518341105
6,2025-10-01,2180.5861218805476
7,2025-10-08,2191.2979128784636
8,2025-10-15,2209.2575976759395
9,2025-10-22,2230.146864207163
10,2025-10-29,2231.138661419181
11,2025-11-05,2241.783159442241
12,2025-11-12,2241.0055583060794
13,2025-11-19,2237.673134171385
14,2025-11-26,2224.702037740265
15,2025-12-03,2214.9847754804055
